Added as,Customer search term,Keywords,Target bid (USD),Impressions,Clicks,CTR,Total cost (USD),CPC (USD),Purchases,Sales (USD),ACOS,KENP read,Estimated KENP royalties (USD),Purchase rate
Keyword: broad,a.g. riddle books,a.g. riddle,0.48,1,1,1.0000,0.64,0.64,0,0,0,0,0,0
,atria books angels and demons dan brown,dan brown,1.28,3,1,0.3333,1.28,1.28,0,0,0,0,0,0
,ice cold tess gerritsen book,tess gerritsen,1.29,1,1,1.0000,1.29,1.29,0,0,0,0,0,0
,michael crichton,michael crichton,0.91,60,1,0.0167,0.68,0.68,0,0,0,0,0,0
,michael crichton books,michael crichton,0.91,64,1,0.0156,0.53,0.53,0,0,0,0,0,0
,michael crichton books,michael crichton books,0.91,238,3,0.0126,4.62,1.54,0,0,0,0,0,0
Keyword: broad,michael crichton kindle books,michael crichton kindle books,1.34,50,1,0.0200,1.34,1.34,0,0,0,0,0,0
,newest tess gerritsen book,tess gerritsen books,0.75,1,1,1.0000,1.15,1.15,0,0,0,0,0,0
,rizzoli and isles by tess gerritsen,tess gerritsen,1.29,1,1,1.0000,1.6,1.6,0,0,0,0,0,0
,robin cook books kindle,robin cook kindle books,1.87,5,1,0.2000,2.13,2.13,0,0,0,0,0,0
,robin cook books new releases 2025,robin cook books,1.07,21,1,0.0476,2.15,2.15,0,0,0,0,0,0
,robin cook kindle books,robin cook books,1.07,15,1,0.0667,1.87,1.87,0,0,0,0,0,0
,robin cook kindle books,robin cook kindle books,1.87,42,1,0.0238,1.16,1.16,1,2.99,0.3880,0,0,1.0000
,secret of secrets dan brown,dan brown,1.28,124,3,0.0242,4.03,1.34,0,0,0,0,0,0
,tess gerritsen books kindle,tess gerritsen kindle books,1.99,3896,7,0.0018,14.05,2.01,0,0,0,0,0,0
,tess gerritsen books kindle unlimited,tess gerritsen kindle books,1.99,9136,11,0.0012,21.17,1.92,0,0,0,0,0,0
Keyword: broad,tess gerritsen kindle books,tess gerritsen kindle books,1.99,15644,22,0.0014,41.74,1.9,0,0,0,0,0,0
,tess gerritsen series kindle books free,tess gerritsen kindle books,1.99,4717,10,0.0021,21.33,2.13,0,0,0,0,0,0
,the surgeon tess gerritsen,tess gerritsen,1.29,802,1,0.0012,1.29,1.29,0,0,0,0,0,0